Sensor ID, F22AF15072C9
Timestamp,2017-10-21 11:37:18
Samples,16382
Interval,500ms

Sample #, Temperature, Humidity, Lux, Acc X, Acc Y, Acc Z
2017-10-21 11:37:19,24.2,70.0,6.0,0.36,-0.22,0.93
2017-10-21 11:37:19,24.2,70.0,8.0,0.36,-0.22,0.93
2017-10-21 11:37:20,24.1,70.0,8.0,0.37,-0.22,0.93
2017-10-21 11:37:20,24.1,70.0,8.0,0.36,-0.22,0.93
2017-10-21 11:37:21,24.1,69.9,8.0,0.36,-0.22,0.93
2017-10-21 11:37:21,24.1,69.9,8.0,0.37,-0.22,0.93
2017-10-21 11:37:22,24.2,70.0,8.0,0.39,-0.22,0.93
2017-10-21 11:37:22,24.1,70.0,8.0,0.36,-0.22,0.93
2017-10-21 11:37:23,24.1,70.0,8.0,0.36,-0.22,0.93
2017-10-21 11:37:23,24.1,69.9,8.0,0.38,-0.22,0.93
2017-10-21 11:37:24,24.2,69.9,8.0,0.38,-0.22,0.93
2017-10-21 11:37:24,24.1,69.9,8.0,0.37,-0.22,0.93
2017-10-21 11:37:25,24.2,69.9,8.0,0.37,-0.22,0.93
2017-10-21 11:37:25,24.1,69.9,8.0,0.35,-0.22,0.93
2017-10-21 11:37:26,24.1,69.9,8.0,0.37,-0.22,0.93
2017-10-21 11:37:26,24.1,69.9,8.0,0.36,-0.22,0.93
2017-10-21 11:37:27,24.2,69.9,8.0,0.34,-0.22,0.93
2017-10-21 11:37:27,24.1,69.9,8.0,0.35,-0.22,0.92
2017-10-21 11:37:28,24.1,69.9,8.0,0.36,-0.22,0.93
2017-10-21 11:37:28,24.2,69.9,8.0,0.35,-0.22,0.93
2017-10-21 11:37:29,24.1,69.9,8.0,0.36,-0.22,0.93
2017-10-21 11:37:29,24.1,69.9,8.0,0.35,-0.22,0.93
2017-10-21 11:37:30,24.1,69.9,8.0,0.36,-0.22,0.93
2017-10-21 11:37:30,24.1,69.9,8.0,0.37,-0.22,0.93
2017-10-21 11:37:31,24.1,69.9,8.0,0.36,-0.22,0.93
2017-10-21 11:37:31,24.1,69.9,8.0,0.37,-0.22,0.93
2017-10-21 11:37:32,24.2,69.9,8.0,0.36,-0.22,0.93
2017-10-21 11:37:32,24.1,69.9,8.0,0.35,-0.22,0.93
2017-10-21 11:37:33,24.1,69.9,8.0,0.35,-0.22,0.93
2017-10-21 11:37:33,24.2,69.9,8.0,0.36,-0.22,0.93
2017-10-21 11:37:34,24.1,69.9,8.0,0.36,-0.22,0.93
2017-10-21 11:37:34,24.2,69.9,8.0,0.36,-0.22,0.93
2017-10-21 11:37:35,24.1,69.9,8.0,0.36,-0.22,0.93
2017-10-21 11:37:35,24.2,69.9,8.0,0.36,-0.22,0.93
2017-10-21 11:37:36,24.1,69.9,8.0,0.38,-0.22,0.93
2017-10-21 11:37:36,24.1,69.9,8.0,0.36,-0.22,0.93
2017-10-21 11:37:37,24.2,69.9,8.0,0.37,-0.22,0.93
2017-10-21 11:37:37,24.1,69.9,8.0,0.36,-0.22,0.93
2017-10-21 11:37:38,24.1,69.9,8.0,0.35,-0.22,0.93
2017-10-21 11:37:38,24.1,69.9,8.0,0.37,-0.22,0.93
2017-10-21 11:37:39,24.2,69.9,8.0,0.35,-0.22,0.93
2017-10-21 11:37:39,24.1,69.9,8.0,0.37,-0.22,0.93
2017-10-21 11:37:40,24.1,69.9,8.0,0.36,-0.22,0.93
2017-10-21 11:37:40,24.1,69.9,8.0,0.36,-0.22,0.93
2017-10-21 11:37:41,24.1,69.9,8.0,0.37,-0.22,0.93
